FORWARD;SPREAD;MATURITY;MARKET_VOLATILITY;SABR_VOLATILITY
0.028289560509804;-0.02;6M;0.0113712764611426;0.0115316121777593
0.028289560509804;-0.015;6M;0.0103668077055385;0.0104168673718183
0.028289560509804;-0.01;6M;0.00934151523138346;0.00935949228268512
0.028289560509804;-0.0075;6M;0.00887215026663;0.00888554858204548
0.028289560509804;-0.005;6M;0.00848044714050415;0.00848209963723247
0.028289560509804;-0.0025;6M;0.00818797428514477;0.00818796503612488
0.028289560509804;0;6M;0.00802;0.00804509124011824
0.028289560509804;0.0025;6M;0.00805329847749239;0.008078264341658
0.028289560509804;0.005;6M;0.00824008691540281;0.00827777395899139
0.028289560509804;0.0075;6M;0.0085689296401922;0.00860696301899452
0.028289560509804;0.01;6M;0.00899228132353073;0.009024317591434
0.028289560509804;0.015;6M;0.0100401153290634;0.0100028519347006
0.028289560509804;0.02;6M;0.0111985991630923;0.0110632643965854
0.0263409953267119;-0.02;2Y;0.00924179940697148;0.00941572391357653
0.0263409953267119;-0.015;2Y;0.00888784939700829;0.00896649801816136
0.0263409953267119;-0.01;2Y;0.0086221263818418;0.00863872261738387
0.0263409953267119;-0.0075;2Y;0.00853864995080465;0.008538884605212
0.0263409953267119;-0.005;2Y;0.00849919847033846;0.00849118963547805
0.0263409953267119;-0.0025;2Y;0.0085084824292171;0.00850023384677932
0.0263409953267119;0;2Y;0.00857;0.00856711264609026
0.0263409953267119;0.0025;2Y;0.00867218817724546;0.00868905672602168
0.0263409953267119;0.005;2Y;0.00882272504452034;0.00886015395720291
0.0263409953267119;0.0075;2Y;0.00901959966571387;0.00907275136633713
0.0263409953267119;0.01;2Y;0.00924351125180555;0.00931886507822955
0.0263409953267119;0.015;2Y;0.00977672063866679;0.00988338319553407
0.0263409953267119;0.02;2Y;0.0103855598561972;0.0105085986060218
0.0263409953267119;0.03;2Y;0.0117945600573433;0.0118395538340041
0.0263409953267119;0.04;2Y;0.0133187892848526;0.0131994104495631
0.0269460162968205;-0.02;5Y;0.00824801779241709;0.00845579453841533
0.0269460162968205;-0.015;5Y;0.00816251946060889;0.00826642400968241
0.0269460162968205;-0.01;5Y;0.00814841190304331;0.00817867427834771
0.0269460162968205;-0.0075;5Y;0.00817156895724078;0.00817922047021671
0.0269460162968205;-0.005;5Y;0.00821455005393538;0.00821114584202813
0.0269460162968205;-0.0025;5Y;0.00828226648460082;0.0082743391251963
0.0269460162968205;0;5Y;0.00839;0.00836749994815359
0.0269460162968205;0.0025;5Y;0.00848210853164413;0.0084883319084851
0.0269460162968205;0.005;5Y;0.00861242498972223;0.0086338658007133
0.0269460162968205;0.0075;5Y;0.00875946705219158;0.00880081584048142
0.0269460162968205;0.01;5Y;0.00892164738610467;0.00898588669748484
0.0269460162968205;0.015;5Y;0.0092897926329599;0.00939836489010987
0.0269460162968205;0.02;5Y;0.00969593440176136;0.00985076830215398
0.0269460162968205;0.03;5Y;0.0105847117293806;0.0108209218334959
0.0269460162968205;0.04;5Y;0.0116427931185816;0.0118271851785071
0.0269460162968205;0.05;5Y;0.0128471432846026;0.0128395244461309
0.0282891241596531;-0.02;10Y;0.00748837345803298;0.00761582387380772
0.0282891241596531;-0.015;10Y;0.0074939664701563;0.00755706151840477
0.0282891241596531;-0.01;10Y;0.00753615164131107;0.00755721754671105
0.0282891241596531;-0.0075;10Y;0.0075726017737503;0.00758058516451211
0.0282891241596531;-0.005;10Y;0.00761818246541163;0.00761950671427873
0.0282891241596531;-0.0025;10Y;0.00767658937306824;0.00767359862073544
0.0282891241596531;0;10Y;0.00777;0.00774218497058177
0.0282891241596531;0.0025;10Y;0.00782222722941178;0.00782435206150208
0.0282891241596531;0.005;10Y;0.00791049499001053;0.00791901676122634
0.0282891241596531;0.0075;10Y;0.00800799718742163;0.00802499776984212
0.0282891241596531;0.01;10Y;0.00811448986204574;0.00814108068081302
0.0282891241596531;0.015;10Y;0.00834856007791602;0.00839883341204899
0.0282891241596531;0.02;10Y;0.00860752842207382;0.00868356503523097
0.0282891241596531;0.03;10Y;0.00917665406662979;0.00930664531889633
0.0282891241596531;0.04;10Y;0.00980075423447738;0.00997014386550509
0.0282891241596531;0.05;10Y;0.0106022548441559;0.0106515511049634
