Maturity;Strike;Vol
1Y;0.00411214447451623;0.010344749523639
1Y;0.00911214447451623;0.00970962091735297
1Y;0.0141121444745162;0.00913379634706833
1Y;0.0166121444745162;0.00890320014538993
1Y;0.0191121444745162;0.00873385003605809
1Y;0.0216121444745162;0.00863455310232691
1Y;0.0241121444745162;0.00864
1Y;0.0266121444745162;0.00869604178306837
1Y;0.0291121444745162;0.00885989125887478
1Y;0.0316121444745162;0.00909293283729809
1Y;0.0341121444745162;0.0093930792408554
1Y;0.0391121444745162;0.0101141009876957
1Y;0.0441121444745162;0.0109686045093057
1Y;0.0541121444745162;0.0127782164939886
5Y;0.00495355335423436;0.00815821892429053
5Y;0.00995355335423436;0.00811628776094702
5Y;0.0149535533542344;0.00812949918974265
5Y;0.0174535533542344;0.00816436265874717
5Y;0.0199535533542344;0.00821435580988334
5Y;0.0224535533542344;0.0082828574049892
5Y;0.0249535533542344;0.00839
5Y;0.0274535533542344;0.00847677396301707
5Y;0.0299535533542344;0.00859765715285868
5Y;0.0324535533542344;0.00873623137086639
5Y;0.0349535533542344;0.00888539248259464
5Y;0.0399535533542344;0.00921906287684427
5Y;0.0449535533542344;0.00958620657799
5Y;0.0549535533542344;0.010431235655189
5Y;0.0649535533542344;0.0114833190286409
5Y;0.0649535533542344;0.0126177635169703
10Y;0.00659718454956516;0.00741749149468547
10Y;0.0115971845495652;0.00742058097734632
10Y;0.0165971845495652;0.00746159245312848
10Y;0.0190971845495652;0.00749603948312575
10Y;0.0215971845495652;0.00754212106233918
10Y;0.0240971845495652;0.00759981764022061
10Y;0.0265971845495652;0.00769
10Y;0.0290971845495652;0.00775007695214357
10Y;0.0315971845495652;0.00784041431285184
10Y;0.0340971845495652;0.00794090039859345
10Y;0.0365971845495652;0.00804970430662358
10Y;0.0415971845495652;0.00829088809857167
10Y;0.0465971845495652;0.00855417008168391
10Y;0.0565971845495652;0.00913220494247925
10Y;0.0665971845495652;0.00983374853047055
10Y;0.0765971845495652;0.0107064349542513
